review_id,review_text_original,review_text_cleaned,rating_original,rating_filled,rating_normalized,acting,acting plot,amazing,amazing movie,movie,plot,terrible,terrible acting
1,<p>Amazing movie!</p>,amazing movie!,8.0,8.0,0.8,0.0,0.0,0.5773502691896257,0.5773502691896257,0.5773502691896257,0.0,0.0,0.0
2,Terrible acting & plot!!!,terrible acting & plot!!!,2.0,2.0,0.2,0.4472135954999579,0.4472135954999579,0.0,0.0,0.0,0.4472135954999579,0.4472135954999579,0.4472135954999579
3,<p>Amazing movie!</p>,amazing movie!,,8.0,0.8,0.0,0.0,0.5773502691896257,0.5773502691896257,0.5773502691896257,0.0,0.0,0.0
4,Terrible acting & plot!!!,terrible acting & plot!!!,8.0,8.0,0.8,0.4472135954999579,0.4472135954999579,0.0,0.0,0.0,0.4472135954999579,0.4472135954999579,0.4472135954999579
5,<p>Amazing movie!</p>,amazing movie!,5.0,5.0,0.5,0.0,0.0,0.5773502691896257,0.5773502691896257,0.5773502691896257,0.0,0.0,0.0
6,Terrible acting & plot!!!,terrible acting & plot!!!,2.0,2.0,0.2,0.4472135954999579,0.4472135954999579,0.0,0.0,0.0,0.4472135954999579,0.4472135954999579,0.4472135954999579
7,<p>Amazing movie!</p>,amazing movie!,8.0,8.0,0.8,0.0,0.0,0.5773502691896257,0.5773502691896257,0.5773502691896257,0.0,0.0,0.0
8,Terrible acting & plot!!!,terrible acting & plot!!!,8.0,8.0,0.8,0.4472135954999579,0.4472135954999579,0.0,0.0,0.0,0.4472135954999579,0.4472135954999579,0.4472135954999579
9,<p>Amazing movie!</p>,amazing movie!,10.0,10.0,1.0,0.0,0.0,0.5773502691896257,0.5773502691896257,0.5773502691896257,0.0,0.0,0.0
10,Terrible acting & plot!!!,terrible acting & plot!!!,5.0,5.0,0.5,0.4472135954999579,0.4472135954999579,0.0,0.0,0.0,0.4472135954999579,0.4472135954999579,0.4472135954999579
11,<p>Amazing movie!</p>,amazing movie!,8.0,8.0,0.8,0.0,0.0,0.5773502691896257,0.5773502691896257,0.5773502691896257,0.0,0.0,0.0
12,Terrible acting & plot!!!,terrible acting & plot!!!,2.0,2.0,0.2,0.4472135954999579,0.4472135954999579,0.0,0.0,0.0,0.4472135954999579,0.4472135954999579,0.4472135954999579
13,<p>Amazing movie!</p>,amazing movie!,10.0,10.0,1.0,0.0,0.0,0.5773502691896257,0.5773502691896257,0.5773502691896257,0.0,0.0,0.0
14,Terrible acting & plot!!!,terrible acting & plot!!!,8.0,8.0,0.8,0.4472135954999579,0.4472135954999579,0.0,0.0,0.0,0.4472135954999579,0.4472135954999579,0.4472135954999579
15,<p>Amazing movie!</p>,amazing movie!,,8.0,0.8,0.0,0.0,0.5773502691896257,0.5773502691896257,0.5773502691896257,0.0,0.0,0.0
